25/03/2026	Yogurt Breakfast	Steelcut Oats	5 and half level big spoons	31.0
25/03/2026	Yogurt Breakfast	Peanut Butter		20.0
25/03/2026	Flatwhite	Milk, Almond Unsweetened	100 mls - same as grams	100.0
25/03/2026	Turkey, Ground Dinner	Turkey, Ground		290.0
25/03/2026	Turkey, Ground Dinner	Potatoe, Sweet		140.0
25/03/2026	Turkey, Ground Dinner	Broccoli		171.5
25/03/2026	Turkey, Ground Dinner	Turkey, Ground		290.0
25/03/2026	Turkey, Ground Dinner	Potatoe, Sweet		140.0
25/03/2026	Turkey, Ground Dinner	Broccoli		80.0
25/03/2026	Cottage Cheese Snack	Cheese, Cottage		160.0
25/03/2026	Cottage Cheese Snack	Blueberries		50.0
25/03/2026	Flatwhite	Milk, Almond Unsweetened	100 mls - same as grams	100.0
25/03/2026	Corn	Corn		106.3
26/03/2026	Flatwhite	Milk, Planet Oatmilk original	100 mls - same as grams	100.0
26/03/2026	Yogurt Breakfast	Yogurt, Plain Nonfat	Next time keep the yogurt to just 150g	203.0
26/03/2026	Yogurt Breakfast	Blueberries	About one quarter a square container.	100.0
26/03/2026	Yogurt Breakfast	Steelcut Oats	5 and half level big spoons	31.0
26/03/2026	Yogurt Breakfast	Chocolate, Pink Salt Caramel		15.5
26/03/2026	Cottage Cheese Snack	Cheese, Cottage		350.0
26/03/2026	Cottage Cheese Snack	Blueberries		126.0
26/03/2026	Turkey	Turkey, Ground		250.0
26/03/2026	Potatoes	Potatoes		150.0
26/03/2026	Turkey, Ground Dinner	Salmon		284.0
26/03/2026	Turkey, Ground Dinner	Chicken		0.0
26/03/2026	Turkey, Ground Dinner	Beans, French		157.0
26/03/2026	Olive oil	Olive oil	Spoon	4.5
27/03/2026	Yogurt Breakfast	Yogurt, Plain Nonfat	Next time keep the yogurt to just 150g	203.0
27/03/2026	Yogurt Breakfast	Blueberries	About one quarter a square container.	100.0
27/03/2026	Yogurt Breakfast	Steelcut Oats	5 and half level big spoons	31.0
27/03/2026	Yogurt Breakfast	Peanut Butter		10.0
27/03/2026	Turkey, Ground Dinner	Turkey, Ground		284.0
27/03/2026	Turkey, Ground Dinner	Olive oil	Small spoon	4.5
27/03/2026	Turkey, Ground Dinner	Beans, French		196.0
27/03/2026	Turkey, Ground Dinner	Potatoes		150.0
27/03/2026	Flatwhite	Milk, Planet Oatmilk original	100 mls - same as grams	100.0
27/03/2026	Flatwhite	Milk, Planet Oatmilk original	100 mls - same as grams	100.0
27/03/2026	Turkey, Ground Dinner	Turkey, Ground		300.0
27/03/2026	Turkey, Ground Dinner	Olive oil	Small spoon	4.5
27/03/2026	Turkey, Ground Dinner	Asparagus		291.0
27/03/2026	Turkey, Ground Dinner	Potatoe, Sweet		150.0
